2019401001,屠杰,64,52,95,56
2019401002,甄融洁,86,100,65,58
2019401003,郁树,60,99,87,53
2019401004,关俊言,57,55,59,67
2019401005,廉伟,80,74,68,94
2019401006,严宏,70,59,72,98
2019401007,寇悦洁,89,80,75,58
2019401008,诸弘永,100,56,87,86
2019401009,官岩,61,60,59,93
2019401010,储枫,54,86,50,84
2019401011,孔丹秀,55,51,71,94
2019401012,正莉咏,89,95,90,50
2019401013,郁亮,97,79,91,75
2019401014,庞光中,65,92,93,97
2019401015,谢谦,59,63,51,94
2019401016,廉芬茗,100,86,61,61
2019401017,勾翰,50,55,76,51
2019401018,于雅妍,85,62,96,88
2019401019,红凤瑗,72,61,86,97
2019401020,梁婕,86,52,88,75
2019401021,乌辉,77,86,99,98
2019401022,卓庆,56,91,93,83
2019401023,匡育悦,52,74,95,96
2019401024,赖策,69,50,52,86
2019401025,索菲,80,80,87,55
2019401026,咸梅琰,83,97,52,91
2019401027,储豪震,61,99,69,50
2019401028,轩强心,62,90,61,64
2019401029,令雁凡,87,76,56,97
2019401030,迟邦贵,88,90,90,58
2019401031,林琛,72,50,70,98
2019401032,褚昭茜,78,67,80,95
2019401033,强贵,86,93,50,87
2019401034,濮俊航,83,78,61,89
2019401035,公家思,91,74,65,95
2019401036,仉彬,60,68,71,96
2019401037,吕乐,76,97,94,55
2019401038,瞿言武,90,69,78,53
2019401039,宁娣昭,69,69,60,78
2019401040,宫丽悦,65,55,77,78
2019401041,蔺芝,96,98,67,91
2019401042,乐娥,86,86,60,55
2019401043,步馨艳,81,95,60,98
2019401044,百鸣雄,68,86,87,84
2019401045,伍建,72,60,100,58
2019401046,訾月,80,73,74,50
2019401047,姜婷,52,60,66,57
2019401048,越滢,97,86,64,96
2019401049,娄力策,77,83,86,85
2019401050,木固,78,84,81,71
2019401051,阎伯致,94,83,73,93
2019401052,韦园,91,61,63,73
2019401053,寇香,69,93,62,52
2019401054,南志,91,61,80,60
2019401055,年寒,69,72,58,52
2019401056,蒯国有,76,68,89,51
2019401057,龚鸣,75,76,94,93
2019401058,牛嘉燕,92,52,88,73
2019401059,巫龙奇,53,88,67,73
2019401060,樊娟,53,65,72,63
2019401061,鱼谦全,57,55,94,55
2019401062,郝中诚,97,71,51,75
2019401063,秋莲兰,94,59,75,65
2019401064,裘仁伯,87,66,76,69
2019401065,贝俊,71,90,95,71
2019401066,车义,71,100,97,77
2019401067,粱辉,96,60,57,64
2019401068,宦柔,81,75,78,55
2019401069,阎腾,79,99,97,63
2019401070,都荔丹,63,67,81,56
2019401071,厉敬明,67,62,68,60
2019401072,米炎,62,61,64,62
2019401073,郭影琼,98,68,75,78
2019401074,郦君,50,51,67,82
2019401075,拓祥辉,97,75,73,83
2019401076,傅翔,74,76,96,95
2019401077,车和河,76,79,81,54
2019401078,段欣,96,88,70,66
2019401079,侯 亚,86,77,83,57
2019401080,寇仁朋,56,62,52,93
2019401081,梁兰昭,90,66,90,84
2019401082,漆蕊梅,92,60,60,91
2019401083,余伊媛,74,83,72,74
2019401084,孙行,69,85,71,66
2019401085,易婉,64,67,50,80
2019401086,车博,70,71,97,80
2019401087,岳友峰,56,96,56,91
2019401088,霍泰,85,57,59,76
2019401089,姓霭霞,80,73,63,98
2019401090,麻生德,89,70,64,92
2019401091,诸月可,76,85,61,71
2019401092,蓟翔,68,97,81,60
2019401093,寇松钧,93,92,82,91
2019401094,向振刚,57,52,95,100
2019401095,郁翔,99,79,99,83
2019401096,梁浩,77,55,77,99
2019401097,仰菲,100,71,77,77
2019401098,凌纨,79,61,54,88
2019401099,慕澜茗,82,86,79,82
2019401100,台波,88,61,90,66
2019401101,蔺玉,98,98,61,94
2019401102,农东,65,58,64,92
2019401103,邢发,65,92,70,74
2019401104,淳婷叶,71,82,62,77
2019401105,殳东武,100,93,93,82
2019401106,况琴,97,61,83,69
2019401107,龚力,70,75,90,85
2019401108,田茂,58,51,77,91
2019401109,姜枫洁,98,98,91,72
2019401110,毋信,75,91,97,60
2019401111,杜琴丹,90,85,90,72
2019401112,鄢富言,89,79,91,72
2019401113,乐姣,79,70,84,67
2019401114,湛才峰,57,60,92,64
2019401115,褚毓,73,72,55,70
2019401116,常榕,51,52,65,85
2019401117,桑鹏,90,53,73,79
2019401118,祝纨,95,94,71,59
2019401119,隗晓凤,50,78,62,69
2019401120,慎建,52,59,77,62
2019401121,隗琳妹,57,92,55,99
2019401122,卫信,60,68,98,83
2019401123,谷明仁,76,57,69,51
2019401124,福淑,90,73,86,68
2019401125,廖彩霭,64,81,90,97
2019401126,鲁融,75,98,91,58
2019401127,干颖,72,50,66,74
2019401128,须生,77,57,79,57
2019401129,褚璐毓,55,86,80,96
2019401130,范利,76,70,97,63
2019401131,父达平,60,70,61,61
2019401132,孙瑾芳,70,51,66,86
2019401133,厍炎,71,72,93,89
2019401134,简维,53,89,94,67
2019401135,濮琬梅,63,56,62,74
2019401136,宋晨,63,72,59,57
2019401137,萧腾,72,77,79,68
2019401138,阴芳,55,96,61,79
2019401139,谯瑶,65,79,70,76
2019401140,纪晨新,85,69,91,59
2019401141,空壮,84,67,97,60
2019401142,龙馨,92,73,78,71
2019401143,茹雄,72,59,86,94
2019401144,米秋,73,77,50,88
2019401145,岑丹,77,57,64,63
